chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,Lang
0.5185959,2237.531999,3174.979703,4783.709181,0.021158157,Marathi
0.40994146,1417.390792,1844.277032,2533.759368,0.029155723,Marathi
0.4276631,2117.261044,3089.590331,4282.497337,0.04036686,Marathi
0.39998424,2194.728696,3052.538397,4248.935638,0.04603212,Marathi
0.44755468,2507.573518,3344.859641,5491.51893,0.048898692,Marathi
0.465791,3229.24937,3878.495864,7399.303705,0.026755522,Marathi
0.4256541,2716.472049,2854.735072,4955.400161,0.076466726,Marathi
0.38038462,1946.229026,2624.116252,3418.006993,0.044390343,Marathi
0.41056105,2743.836523,3299.543063,5506.175563,0.059495192,Marathi
0.45677963,2278.307544,3156.527333,4493.66327,0.048631219,Marathi
0.5344382,2298.312598,3158.40841,5023.454229,0.023505462,Marathi
0.3888598,1580.080897,2112.767694,3105.192719,0.02902189,Marathi
0.4995322,2440.76609,3142.276797,4801.004998,0.052947361,Marathi
0.49064526,2226.53777,3115.918225,4718.283582,0.026355735,Marathi
0.43772545,1928.152584,2684.570452,4012.759861,0.022962753,Marathi
0.44136187,2864.501527,3478.275364,5885.13986,0.062865357,Marathi
0.43748376,1768.428767,2282.877081,3320.90954,0.039761501,Marathi
0.4314674,1460.36433,1835.389636,2741.836188,0.030416681,Marathi
0.46371523,3472.208182,3059.470826,6082.006156,0.10080969,Marathi
0.4387689,2052.372086,2915.599581,3805.481552,0.041625127,Marathi
0.51768965,2574.75336,3278.797885,5822.587661,0.028889103,Marathi
0.47313407,2292.414294,3004.800629,4904.560359,0.026345231,Marathi
0.4249124,2160.076701,3038.933242,4504.486296,0.041827917,Marathi
0.47006574,2410.316488,3122.042875,4682.442704,0.05488213,Marathi
0.42856875,2578.642828,3375.379814,5429.664615,0.048760151,Marathi
0.40301588,2197.466107,3143.923288,4263.024647,0.042872453,Marathi
0.4635924,1959.319976,2591.306045,4063.972163,0.027196325,Marathi
0.46755245,2548.027909,2802.717735,4966.289472,0.065501393,Marathi
0.3028093,1793.810462,1550.56072,3459.013651,0.052873436,Marathi
0.4988186,2233.454325,2997.297626,4960.204558,0.02274412,Marathi
0.45015216,2159.362862,2533.094348,4131.313169,0.05325794,Marathi
0.44187424,2267.806251,2949.698463,4895.627007,0.024259318,Marathi
0.36771944,1705.305677,1547.262349,3492.1875,0.0550179,Marathi
0.46908167,1897.581292,2668.659638,3784.328158,0.027053082,Marathi
0.62876874,1179.788826,1963.344863,1983.956772,0.026478018,Marathi
0.42176828,1284.401783,1687.180824,2291.053266,0.027428441,Marathi
0.36220753,1645.755935,2309.736252,3317.184154,0.02998486,Marathi
0.49212533,2069.297382,2884.999401,4382.862687,0.022976404,Marathi
0.2921928,609.4612593,1399.370999,680.1893737,0.014425731,Marathi
0.43961197,2352.529309,2823.344233,4584.615899,0.058700398,Marathi
0.49715915,2369.897887,3110.272823,5245.402452,0.026695138,Marathi
0.46982127,1980.439184,2740.385987,3992.906852,0.032024767,Marathi
0.48446286,2076.495509,2824.121543,4517.967077,0.028397685,Marathi
0.37169224,2448.154158,3189.792242,4875.036877,0.051543834,Marathi
0.46779138,2449.505507,3181.868755,5325.230862,0.032701251,Marathi
0.40586293,2045.928765,3023.671204,4297.555521,0.036213624,Marathi
0.45602873,1467.370745,2208.363772,2959.291618,0.022593487,Marathi
0.4502901,1948.349053,2483.416948,3664.681478,0.04142758,Marathi
0.42546517,2310.515525,3112.688928,4645.026669,0.04809627,Marathi
0.435802,2489.718623,3028.564621,4869.164185,0.059705756,Marathi
0.46434784,2266.258816,3004.153894,4976.845682,0.020698336,Marathi
0.45063436,1568.721348,1991.032754,2825.799652,0.035124883,Marathi
0.50016713,2345.128641,3100.570437,5125.786269,0.031489436,Marathi
0.4550158,2460.479068,3148.889938,4945.442331,0.052956424,Marathi
0.48902392,2860.545336,3191.704922,5998.879343,0.047020688,Marathi
0.45669392,1932.511562,2869.203772,3619.026995,0.039844203,Marathi
0.4980867,2118.396907,2967.168174,4618.6867,0.024250608,Marathi
0.39819717,1489.043738,2009.901088,2742.837154,0.029066789,Marathi
0.39726937,1489.299366,1968.760819,2780.380086,0.0287835,Marathi
0.4866908,1761.940067,2622.841473,3670.192564,0.026368229,Marathi
0.41758355,2342.686976,3175.150639,4617.441543,0.050358983,Marathi
0.4660673,1535.354094,2274.801993,3045.625666,0.027572795,Marathi
0.51762694,2438.7489,3308.182359,4925.258075,0.052159993,Marathi
0.3882702,2474.837415,3165.813148,4956.833445,0.049394577,Marathi
0.2978185,1780.19013,1598.298667,3514.219754,0.055981916,Marathi
0.4375663,1785.303235,2184.201493,3471.563934,0.036057692,Marathi
0.39358214,2576.753778,3229.603324,5156.577636,0.055960883,Marathi
0.45335576,2327.063803,3172.47865,4551.687473,0.04770246,Marathi
0.38597587,1363.063164,1759.977991,2490.548046,0.02736257,Marathi
0.40301386,2338.809993,2999.861381,4717.62866,0.051293433,Marathi
0.46218842,1578.958472,2205.602884,3151.11416,0.027826803,Marathi
0.4224682,1441.43055,1905.684668,2552.479256,0.030945739,Marathi
0.4551639,2716.209066,3281.438622,5522.941855,0.065172518,Marathi
0.62631774,1007.219685,1660.716871,1965.839133,0.014007503,Marathi
0.42797107,2592.054909,3203.642503,5815.059556,0.023450047,Marathi
0.46089292,2740.821445,3247.42262,5330.747719,0.068948955,Marathi
0.38187933,2836.046869,3435.97282,5878.715035,0.063130554,Marathi
0.45406768,2223.055295,3017.683274,4353.753875,0.049262027,Marathi
0.5785919,3992.549051,3894.200255,7860.268634,0.120660981,Marathi
0.46373338,2021.110769,2693.50343,4261.876999,0.02459938,Marathi
0.43658155,2579.683931,2919.141992,4972.248134,0.069120427,Marathi
0.42312685,2021.739693,2773.314416,3845.609225,0.044477983,Marathi
0.47332594,3051.041805,3680.560379,6822.069058,0.024158943,Marathi
0.36984086,2296.879901,3097.691225,4691.126257,0.038961202,Marathi
0.51265913,3452.540231,4206.444534,7879.316113,0.028671624,Marathi
0.4671229,1681.907918,2372.212518,3409.78145,0.026728453,Marathi
0.45065922,2098.227804,2862.797478,4460.471082,0.025399995,Marathi
0.4658998,2403.007116,3316.994624,5313.605147,0.048615139,Marathi
